Month,churn_rate
2021-05-01,97.05882352941177
2021-06-01,100.0
2021-07-01,100.0
2021-08-01,95.65217391304348
2021-09-01,87.5
2021-10-01,100.0
2021-11-01,100.0
2021-12-01,92.85714285714286
2022-01-01,98.76543209876543
2022-02-01,100.0
2022-03-01,95.65217391304348
2022-04-01,92.3076923076923
2022-05-01,90.47619047619048
2022-06-01,92.85714285714286
2022-07-01,100.0
2022-08-01,100.0
2022-09-01,100.0
2022-10-01,93.54838709677419
2022-11-01,92.0
2022-12-01,96.55172413793103
2023-01-01,100.0
2023-02-01,88.09523809523809
2023-03-01,93.33333333333333
2023-04-01,92.3076923076923
2023-05-01,95.45454545454545
2023-06-01,86.66666666666667
2023-07-01,90.9090909090909
2023-08-01,94.87179487179486
2023-09-01,93.75
2023-10-01,100.0
2023-11-01,90.47619047619048
2023-12-01,93.75
2024-01-01,96.47058823529412
2024-02-01,95.83333333333334
2024-03-01,92.5925925925926
2024-04-01,95.45454545454545
2024-05-01,95.23809523809523
2024-06-01,95.83333333333334
2024-07-01,100.0
2024-08-01,95.23809523809523
2024-09-01,100.0
2024-10-01,96.66666666666667
2024-11-01,100.0
2024-12-01,100.0
